series,model,yaml,head,nc,series_status,parse_error
C_series,07_c07_dualproto_repcontext,C_series/07_c07_dualproto_repcontext.yaml,SegmentCitrusDualProto,80,task-specific semantic/detail topology series; pending training,
C_series,08_c08_dualproto_full_hypothesis,C_series/08_c08_dualproto_full_hypothesis.yaml,SegmentCitrusDualProto,80,task-specific semantic/detail topology series; pending training,
C_series,09_c09_g01_clean_reproduction,C_series/09_c09_g01_clean_reproduction.yaml,SegmentP2Boundary,80,task-specific semantic/detail topology series; pending training,
D_series,01_d01_bilateral_pdc_core,D_series/01_d01_bilateral_pdc_core.yaml,Segment,80,shape-semantic bilateral backbone series; pending training,
D_series,02_d02_regular_conv_control,D_series/02_d02_regular_conv_control.yaml,Segment,80,shape-semantic bilateral backbone series; pending training,
D_series,03_d03_p3_gate_only,D_series/03_d03_p3_gate_only.yaml,Segment,80,shape-semantic bilateral backbone series; pending training,
D_series,04_d04_achromatic_stem,D_series/04_d04_achromatic_stem.yaml,Segment,80,shape-semantic bilateral backbone series; pending training,
D_series,05_d05_edge_supervised,D_series/05_d05_edge_supervised.yaml,SegmentCitrusAux,80,shape-semantic bilateral backbone series; pending training,
D_series,06_d06_shape_semantic_full,D_series/06_d06_shape_semantic_full.yaml,SegmentCitrusAux,80,shape-semantic bilateral backbone series; pending training,
D_series,07_d07_deploy_lite,D_series/07_d07_deploy_lite.yaml,SegmentCitrusLiteBQ,80,shape-semantic bilateral backbone series; pending training,
D_series,08_d08_topology_masks,D_series/08_d08_topology_masks.yaml,SegmentCitrusDualProto,80,shape-semantic bilateral backbone series; pending training,
D_series,09_d09_empirical_context,D_series/09_d09_empirical_context.yaml,SegmentCitrusAux,80,shape-semantic bilateral backbone series; pending training,
F_series,F01_yolo11-seg-p2,F_series/F01_yolo11-seg-p2.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F02_yolo11-seg-p2-spd,F_series/F02_yolo11-seg-p2-spd.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F03_yolo11-seg-spdconv,F_series/F03_yolo11-seg-spdconv.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F04_yolo11-seg-hwd,F_series/F04_yolo11-seg-hwd.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F05_yolo11-seg-c3k2faster,F_series/F05_yolo11-seg-c3k2faster.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F06_yolo11-seg-c3k2wt,F_series/F06_yolo11-seg-c3k2wt.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F07_yolo11-seg-c3k2dwr,F_series/F07_yolo11-seg-c3k2dwr.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F08_yolo11-seg-ema,F_series/F08_yolo11-seg-ema.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F09_yolo11-seg-simam,F_series/F09_yolo11-seg-simam.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F10_yolo11-seg-cbam,F_series/F10_yolo11-seg-cbam.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F11_yolo11-seg-coordatt,F_series/F11_yolo11-seg-coordatt.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F12_yolo11-seg-ela,F_series/F12_yolo11-seg-ela.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F13_yolo11-seg-caa,F_series/F13_yolo11-seg-caa.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F14_yolo11-seg-sppf-lska,F_series/F14_yolo11-seg-sppf-lska.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F15_yolo11-seg-rfb,F_series/F15_yolo11-seg-rfb.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F16_yolo11-seg-bifpn,F_series/F16_yolo11-seg-bifpn.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F17_yolo11-seg-carafe,F_series/F17_yolo11-seg-carafe.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F18_yolo11-seg-dysample,F_series/F18_yolo11-seg-dysample.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F19_yolo11-seg-dfem,F_series/F19_yolo11-seg-dfem.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F20_yolo11-seg-dfem-p2p3,F_series/F20_yolo11-seg-dfem-p2p3.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F21_yolo11-seg-liam,F_series/F21_yolo11-seg-liam.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F22_yolo11-seg-csfg,F_series/F22_yolo11-seg-csfg.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F23_yolo11-seg-hvi-dfem,F_series/F23_yolo11-seg-hvi-dfem.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F24_yolo11-seg-spd-dysample,F_series/F24_yolo11-seg-spd-dysample.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F25_yolo11-seg-spd-ema,F_series/F25_yolo11-seg-spd-ema.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F26_yolo11-seg-dfem-liam,F_series/F26_yolo11-seg-dfem-liam.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F27_yolo11-seg-bifpn-dysample,F_series/F27_yolo11-seg-bifpn-dysample.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F28_yolo11-seg-dfem-spd,F_series/F28_yolo11-seg-dfem-spd.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F30_yolo11-seg-ours-lite,F_series/F30_yolo11-seg-ours-lite.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F31_yolo11-seg-ours-full,F_series/F31_yolo11-seg-ours-full.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F32_yolo11-seg-ours-no-dfem,F_series/F32_yolo11-seg-ours-no-dfem.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F33_yolo11-seg-ours-no-spd,F_series/F33_yolo11-seg-ours-no-spd.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F34_yolo11-seg-ours-no-lska,F_series/F34_yolo11-seg-ours-no-lska.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F35_yolo11-seg-ours-no-bifpn,F_series/F35_yolo11-seg-ours-no-bifpn.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F36_yolo11-seg-ours-no-dysample,F_series/F36_yolo11-seg-ours-no-dysample.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F37_yolo11-seg-ours-no-liam,F_series/F37_yolo11-seg-ours-no-liam.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F38_yolo11-seg-ours-full-p2,F_series/F38_yolo11-seg-ours-full-p2.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F40_yolo11-seg-hrstream,F_series/F40_yolo11-seg-hrstream.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F41_yolo11-seg-freqdetail-pan,F_series/F41_yolo11-seg-freqdetail-pan.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F42_yolo11-seg-shallowheavy,F_series/F42_yolo11-seg-shallowheavy.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F43_yolo11-seg-citrusfar-v2,F_series/F43_yolo11-seg-citrusfar-v2.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F44_yolo11-seg-citrusfar-edge,F_series/F44_yolo11-seg-citrusfar-edge.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F45_yolo11-seg-citrusfar-edge-nano,F_series/F45_yolo11-seg-citrusfar-edge-nano.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F46_yolo11-seg-farformer,F_series/F46_yolo11-seg-farformer.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F47_yolo11-seg-lumiformer,F_series/F47_yolo11-seg-lumiformer.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F48_yolo11-seg-citrusformer-net,F_series/F48_yolo11-seg-citrusformer-net.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F49_yolo11-seg-tdam,F_series/F49_yolo11-seg-tdam.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F50_yolo11-seg-lce,F_series/F50_yolo11-seg-lce.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F51_yolo11-seg-lce-tdam,F_series/F51_yolo11-seg-lce-tdam.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F52_yolo11-seg-citrusfar-edge-v2,F_series/F52_yolo11-seg-citrusfar-edge-v2.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F53_yolo11-seg-citrusformer-plus,F_series/F53_yolo11-seg-citrusformer-plus.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F54_yolo11-seg-farformer-fla,F_series/F54_yolo11-seg-farformer-fla.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F55_yolo11-seg-mwca,F_series/F55_yolo11-seg-mwca.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F56_yolo11-seg-freqsuite,F_series/F56_yolo11-seg-freqsuite.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F57_yolo11-seg-hco,F_series/F57_yolo11-seg-hco.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F58_yolo11-seg-hyperace,F_series/F58_yolo11-seg-hyperace.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F59_yolo11-seg-c3k2ls,F_series/F59_yolo11-seg-c3k2ls.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F60_yolo11-seg-tgp,F_series/F60_yolo11-seg-tgp.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F61_yolo11-seg-tgp-tdam,F_series/F61_yolo11-seg-tgp-tdam.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F62_yolo11-seg-hsf,F_series/F62_yolo11-seg-hsf.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F63_yolo11-seg-c3k2sxq,F_series/F63_yolo11-seg-c3k2sxq.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F64_yolo11-seg-c3k2moce,F_series/F64_yolo11-seg-c3k2moce.yaml,Segment,80,legacy exploratory series; old-data results,
F_series,F65_yolo11-seg-hyperres,F_series/F65_yolo11-seg-hyperres.yaml,Segment,80,legacy exploratory series; old-data results,
G_0839_series,00_g00_lite_control,G_0839_series/00_g00_lite_control.yaml,SegmentCitrusSDR,80,dual-resolution preserve-search-discriminate-refine series; pending screening,
G_0839_series,01_g01_preserve,G_0839_series/01_g01_preserve.yaml,SegmentCitrusSDR,80,dual-resolution preserve-search-discriminate-refine series; pending screening,
G_0839_series,02_g02_search,G_0839_series/02_g02_search.yaml,SegmentCitrusSDR,80,dual-resolution preserve-search-discriminate-refine series; pending screening,
G_0839_series,03_g03_discriminate,G_0839_series/03_g03_discriminate.yaml,SegmentCitrusSDR,80,dual-resolution preserve-search-discriminate-refine series; pending screening,
G_0839_series,04_g04_boundary_refine,G_0839_series/04_g04_boundary_refine.yaml,SegmentCitrusSDR,80,dual-resolution preserve-search-discriminate-refine series; pending screening,
G_0839_series,05_g05_full_sdr,G_0839_series/05_g05_full_sdr.yaml,SegmentCitrusSDR,80,dual-resolution preserve-search-discriminate-refine series; pending screening,
G_series,01_yolo11n-seg-lska-carafe-p2b,G_series/01_yolo11n-seg-lska-carafe-p2b.yaml,SegmentP2Boundary,80,legacy G series; old-data results,
G_series,02_yolo11n-seg-faster-lska-carafe-p2b,G_series/02_yolo11n-seg-faster-lska-carafe-p2b.yaml,SegmentP2Boundary,80,legacy G series; old-data results,
G_series,03_yolo11n-seg-wt-lska-carafe-p2b,G_series/03_yolo11n-seg-wt-lska-carafe-p2b.yaml,SegmentP2Boundary,80,legacy G series; old-data results,
G_series,04_yolo11n-seg-faster-rfb-carafe-p2b,G_series/04_yolo11n-seg-faster-rfb-carafe-p2b.yaml,SegmentP2Boundary,80,legacy G series; old-data results,
G_series,05_yolo11n-seg-faster-farformer-carafe-p2b,G_series/05_yolo11n-seg-faster-farformer-carafe-p2b.yaml,SegmentP2Boundary,80,legacy G series; old-data results,
G_series,06_yolo11n-seg-faster-lska-bifpn-p2b,G_series/06_yolo11n-seg-faster-lska-bifpn-p2b.yaml,SegmentP2Boundary,80,legacy G series; old-data results,
G_series,07_yolo11n-seg-wt-lska-bifpn-p2b,G_series/07_yolo11n-seg-wt-lska-bifpn-p2b.yaml,SegmentP2Boundary,80,legacy G series; old-data results,
G_series,08_yolo11n-seg-faster-lska-carafe-bifpn-p2b,G_series/08_yolo11n-seg-faster-lska-carafe-bifpn-p2b.yaml,SegmentP2Boundary,80,legacy G series; old-data results,
G_series,09_yolo11n-seg-hwd-faster-lska-carafe-p2b,G_series/09_yolo11n-seg-hwd-faster-lska-carafe-p2b.yaml,SegmentP2Boundary,80,legacy G series; old-data results,
G_series,10_yolo11n-seg-hybrid-lska-carafe-bifpn-p2b,G_series/10_yolo11n-seg-hybrid-lska-carafe-bifpn-p2b.yaml,SegmentP2Boundary,80,legacy G series; old-data results,
H_series,11_hybrid_aafm,H_series/11_hybrid_aafm.yaml,SegmentP2Boundary,80,hybrid redesign series; pending/compatibility,
H_series,12_hybrid_p2neck,H_series/12_hybrid_p2neck.yaml,SegmentP2Boundary,80,hybrid redesign series; pending/compatibility,
H_series,13_hybrid_savss,H_series/13_hybrid_savss.yaml,SegmentP2Boundary,80,hybrid redesign series; pending/compatibility,
H_series,14_hybrid_aafm_savss,H_series/14_hybrid_aafm_savss.yaml,SegmentP2Boundary,80,hybrid redesign series; pending/compatibility,
H_series,15_citrus_fasass_p2mask,H_series/15_citrus_fasass_p2mask.yaml,SegmentP2Boundary,80,hybrid redesign series; pending/compatibility,
H_series,16_citrus_fasass_p2detect,H_series/16_citrus_fasass_p2detect.yaml,SegmentP2DetectBoundary,80,hybrid redesign series; pending/compatibility,
L_series,00_yolo11n_seg_reference,L_series/00_yolo11n_seg_reference.yaml,Segment,80,topology series; superseded as primary by B v2,
L_series,01_lska_context,L_series/01_lska_context.yaml,Segment,80,topology series; superseded as primary by B v2,
L_series,02_scale_fusion,L_series/02_scale_fusion.yaml,Segment,80,topology series; superseded as primary by B v2,
L_series,03_p2cfs_detail,L_series/03_p2cfs_detail.yaml,SegmentP2CFS,80,topology series; superseded as primary by B v2,
L_series,04_topology_head,L_series/04_topology_head.yaml,SegmentCitrusTopo,80,topology series; superseded as primary by B v2,
L_series,05_lska_scale_fusion,L_series/05_lska_scale_fusion.yaml,Segment,80,topology series; superseded as primary by B v2,
L_series,06_lska_topology,L_series/06_lska_topology.yaml,SegmentCitrusTopo,80,topology series; superseded as primary by B v2,
L_series,07_citrus_toposeg_full,L_series/07_citrus_toposeg_full.yaml,SegmentCitrusTopo,80,topology series; superseded as primary by B v2,
L_series,08_scale_topology,L_series/08_scale_topology.yaml,SegmentCitrusTopo,80,topology series; superseded as primary by B v2,
L_series,09_full_p2cfs_control,L_series/09_full_p2cfs_control.yaml,SegmentP2CFS,80,topology series; superseded as primary by B v2,
N_series,01_hw_faster_lska_carafe_p2b,N_series/01_hw_faster_lska_carafe_p2b.yaml,SegmentP2Boundary,80,legacy evidence-combination series; old-data results,
N_series,02_moce_lska_carafe_p2b,N_series/02_moce_lska_carafe_p2b.yaml,SegmentP2Boundary,80,legacy evidence-combination series; old-data results,
N_series,03_wt_rfb_bifpn_p2b,N_series/03_wt_rfb_bifpn_p2b.yaml,SegmentP2Boundary,80,legacy evidence-combination series; old-data results,
N_series,04_moce_hco_hsf_p2b,N_series/04_moce_hco_hsf_p2b.yaml,SegmentP2Boundary,80,legacy evidence-combination series; old-data results,
N_series,05_faster_farformer_carafe_p2b,N_series/05_faster_farformer_carafe_p2b.yaml,SegmentP2Boundary,80,legacy evidence-combination series; old-data results,
N_series,06_faster_hyperace_bifpn_p2b,N_series/06_faster_hyperace_bifpn_p2b.yaml,SegmentP2Boundary,80,legacy evidence-combination series; old-data results,
N_series,07_faster_hyperres_hsf_p2b,N_series/07_faster_hyperres_hsf_p2b.yaml,SegmentP2Boundary,80,legacy evidence-combination series; old-data results,
N_series,08_sxq_lska_carafe_p2b,N_series/08_sxq_lska_carafe_p2b.yaml,SegmentP2Boundary,80,legacy evidence-combination series; old-data results,
N_series,09_hw_wt_lska_hsf_p2b,N_series/09_hw_wt_lska_hsf_p2b.yaml,SegmentP2Boundary,80,legacy evidence-combination series; old-data results,
N_series,10_moce_hw_bifpn_edge_p2b,N_series/10_moce_hw_bifpn_edge_p2b.yaml,SegmentP2Boundary,80,legacy evidence-combination series; old-data results,
S_series,00_reference,S_series/00_reference.yaml,Segment,80,completed grouped-clean ablation series,
S_series,01_repcontext_backbone,S_series/01_repcontext_backbone.yaml,Segment,80,completed grouped-clean ablation series,
S_series,02_lska_backbone,S_series/02_lska_backbone.yaml,Segment,80,completed grouped-clean ablation series,
S_series,03_train_aux_head,S_series/03_train_aux_head.yaml,SegmentCitrusAux,80,completed grouped-clean ablation series,
S_series,04_lite_head,S_series/04_lite_head.yaml,SegmentCitrusLite,80,completed grouped-clean ablation series,
S_series,05_fpn_only_neck,S_series/05_fpn_only_neck.yaml,Segment,80,completed grouped-clean ablation series,
S_series,06_asym_pan_neck,S_series/06_asym_pan_neck.yaml,Segment,80,completed grouped-clean ablation series,
S_series,07_lska_asym_pan,S_series/07_lska_asym_pan.yaml,Segment,80,completed grouped-clean ablation series,
S_series,08_citrus_swift_full,S_series/08_citrus_swift_full.yaml,SegmentCitrusLite,80,completed grouped-clean ablation series,
S_series,09_dense_topology_control,S_series/09_dense_topology_control.yaml,SegmentCitrusTopo,80,completed grouped-clean ablation series,
SXQ_series,SXQNet-seg,SXQ_series/SXQNet-seg.yaml,Segment,80,legacy SXQ series; old-data results,
SXQ_series,SXQNet-V10-max,SXQ_series/SXQNet-V10-max.yaml,Segment,80,legacy SXQ series; old-data results,
SXQ_series,SXQNet-V2-nano,SXQ_series/SXQNet-V2-nano.yaml,Segment,80,legacy SXQ series; old-data results,
SXQ_series,SXQNet-V3-freq,SXQ_series/SXQNet-V3-freq.yaml,Segment,80,legacy SXQ series; old-data results,
SXQ_series,SXQNet-V4-former,SXQ_series/SXQNet-V4-former.yaml,Segment,80,legacy SXQ series; old-data results,
SXQ_series,SXQNet-V5-hyper,SXQ_series/SXQNet-V5-hyper.yaml,Segment,80,legacy SXQ series; old-data results,
SXQ_series,SXQNet-V6-p2,SXQ_series/SXQNet-V6-p2.yaml,Segment,80,legacy SXQ series; old-data results,
SXQ_series,SXQNet-V7-fast,SXQ_series/SXQNet-V7-fast.yaml,Segment,80,legacy SXQ series; old-data results,
SXQ_series,SXQNet-V8-texture,SXQ_series/SXQNet-V8-texture.yaml,Segment,80,legacy SXQ series; old-data results,
SXQ_series,SXQNet-V9-dark,SXQ_series/SXQNet-V9-dark.yaml,Segment,80,legacy SXQ series; old-data results,
T_series,00_t00_yolo11n_reference,T_series/00_t00_yolo11n_reference.yaml,Segment,80,unified same-dataset finalist rerun; pending training,
T_series,01_t01_f14_sppf_lska,T_series/01_t01_f14_sppf_lska.yaml,Segment,80,unified same-dataset finalist rerun; pending training,
T_series,02_t02_g10_hybrid,T_series/02_t02_g10_hybrid.yaml,SegmentP2Boundary,80,unified same-dataset finalist rerun; pending training,
T_series,03_t03_n02_moce_lska,T_series/03_t03_n02_moce_lska.yaml,SegmentP2Boundary,80,unified same-dataset finalist rerun; pending training,
T_series,04_t04_l06_lska_topology,T_series/04_t04_l06_lska_topology.yaml,SegmentCitrusTopo,80,unified same-dataset finalist rerun; pending training,
T_series,05_t05_s04_lite_head,T_series/05_t05_s04_lite_head.yaml,SegmentCitrusLite,80,unified same-dataset finalist rerun; pending training,
T_series,06_t06_b06_context_topology_lite,T_series/06_t06_b06_context_topology_lite.yaml,SegmentCitrusBLite,80,unified same-dataset finalist rerun; pending training,
T_series,07_t07_c03_dualproto_core,T_series/07_t07_c03_dualproto_core.yaml,SegmentCitrusDualProto,80,unified same-dataset finalist rerun; pending training,
T_series,08_t08_d06_shape_semantic_full,T_series/08_t08_d06_shape_semantic_full.yaml,SegmentCitrusAux,80,unified same-dataset finalist rerun; pending training,
T_series,09_t09_d07_deploy_lite,T_series/09_t09_d07_deploy_lite.yaml,SegmentCitrusLiteBQ,80,unified same-dataset finalist rerun; pending training,
G_0830_series,00_g00_official_control,G_0830_series/00_g00_official_control.yaml,Segment,80,T-corrected complete control; mandatory rerun,
G_0830_series,01_g01_t04_anchor,G_0830_series/01_g01_t04_anchor.yaml,SegmentCitrusTopo,80,T04 structure anchor under fixed G_0830 losses,
G_0830_series,02_g02_bilateral_backbone,G_0830_series/02_g02_bilateral_backbone.yaml,SegmentCitrusTopo,80,persistent narrow P2 bilateral backbone ablation,
G_0830_series,03_g03_frequency_neck,G_0830_series/03_g03_frequency_neck.yaml,SegmentCitrusTopo,80,bilateral backbone plus frequency-aligned PAN,
G_0830_series,04_g04_deep_repmixer,G_0830_series/04_g04_deep_repmixer.yaml,SegmentCitrusTopo,80,P4/P5 non-CSP RepMixer efficiency ablation,
Light_series,Light00_backbone_only,Light_series/Light00_backbone_only.yaml,Segment,80,non-CSP partial-convolution backbone ablation; accuracy pending,
Light_series,Light01_neck_only,Light_series/Light01_neck_only.yaml,Segment,80,adaptive progressive gather-distribute neck ablation; accuracy pending,
Light_series,Light02_joint_core,Light_series/Light02_joint_core.yaml,Segment,80,joint lightweight backbone and neck core; accuracy pending,
Light_series,Light03_deploy_lite,Light_series/Light03_deploy_lite.yaml,SegmentCitrusLite,80,measured lightweight deployment candidate; accuracy pending,
